"ID","MonthlyIncome"
1073,2201.34497139655
1074,6212.78576954
1075,6212.78576954
1076,14235.6673658269
1077,18247.1081639703
1078,6212.78576954
1079,6212.78576954
1080,6212.78576954
1081,2201.34497139655
1082,2201.34497139655
1083,2201.34497139655
1084,6212.78576954
1085,10224.2265676834
1086,10224.2265676834
1087,6212.78576954
1088,2201.34497139655
1089,2201.34497139655
1090,6212.78576954
1091,6212.78576954
1092,6212.78576954
1093,10224.2265676834
1094,6212.78576954
1095,6212.78576954
1096,6212.78576954
1097,2201.34497139655
1098,2201.34497139655
1099,2201.34497139655
1100,6212.78576954
1101,18247.1081639703
1102,6212.78576954
1103,6212.78576954
1104,10224.2265676834
1105,2201.34497139655
1106,2201.34497139655
1107,2201.34497139655
1108,6212.78576954
1109,6212.78576954
1110,6212.78576954
1111,6212.78576954
1112,10224.2265676834
1113,10224.2265676834
1114,6212.78576954
1115,10224.2265676834
1116,2201.34497139655
1117,6212.78576954
1118,6212.78576954
1119,10224.2265676834
1120,2201.34497139655
1121,10224.2265676834
1122,14235.6673658269
1123,6212.78576954
1124,14235.6673658269
1125,2201.34497139655
1126,2201.34497139655
1127,2201.34497139655
1128,6212.78576954
1129,14235.6673658269
1130,2201.34497139655
1131,10224.2265676834
1132,14235.6673658269
1133,6212.78576954
1134,2201.34497139655
1135,2201.34497139655
1136,2201.34497139655
1137,2201.34497139655
1138,6212.78576954
1139,10224.2265676834
1140,14235.6673658269
1141,6212.78576954
1142,6212.78576954
1143,10224.2265676834
1144,6212.78576954
1145,6212.78576954
1146,6212.78576954
1147,6212.78576954
1148,2201.34497139655
1149,2201.34497139655
1150,6212.78576954
1151,2201.34497139655
1152,6212.78576954
1153,6212.78576954
1154,2201.34497139655
1155,6212.78576954
1156,14235.6673658269
1157,2201.34497139655
1158,6212.78576954
1159,2201.34497139655
1160,6212.78576954
1161,2201.34497139655
1162,10224.2265676834
1163,2201.34497139655
1164,10224.2265676834
1165,2201.34497139655
1166,2201.34497139655
1167,10224.2265676834
1168,6212.78576954
1169,2201.34497139655
1170,2201.34497139655
